timestamp,temperature,humidity,water_level,N,P,K,Fan_actuator_OFF,Fan_actuator_ON,Watering_plant_pump_OFF,Watering_plant_pump_ON,Water_pump_actuator_OFF,Water_pump_actuator_ON
2024-01-01 06:01:00,33,72,100,178,186,157,0,1,1,0,1,0
2024-01-01 06:06:00,33,72,100,178,186,157,0,1,1,0,1,0
2024-01-01 06:11:00,32,72,100,178,186,157,0,1,1,0,1,0
2024-01-01 06:16:00,31,69,88,178,186,157,0,1,1,0,1,0
2024-01-01 06:21:00,29,71,100,178,186,157,0,1,1,0,1,0
2024-01-01 06:26:00,28,69,80,178,186,157,0,1,1,0,1,0
2024-01-01 06:31:00,29,71,99,178,186,157,0,1,1,0,1,0
2024-01-01 06:36:00,29,71,100,178,186,157,0,1,1,0,1,0
2024-01-01 06:41:00,29,69,80,178,186,157,0,1,1,0,1,0
2024-01-01 06:46:00,30,69,76,178,186,157,0,1,1,0,1,0
2024-01-01 06:51:00,29,70,97,178,186,157,0,1,1,0,1,0
2024-01-01 06:56:00,29,70,95,178,186,157,0,1,1,0,1,0
2024-01-01 07:01:00,28,69,89,178,186,157,0,1,1,0,1,0
2024-01-01 07:11:00,27,70,100,178,186,157,0,1,1,0,1,0
2024-01-01 07:16:00,25,72,97,178,186,157,0,1,1,0,1,0
2024-01-01 07:21:00,24,71,93,178,186,157,0,1,1,0,1,0
2024-01-01 07:26:00,24,70,80,178,186,157,0,1,1,0,1,0
2024-01-01 07:31:00,23,68,78,178,186,157,0,1,1,0,1,0
2024-01-01 07:36:00,23,68,79,178,186,157,0,1,1,0,1,0
2024-01-01 07:41:00,22,70,72,178,186,157,1,0,1,0,1,0
2024-01-01 07:46:00,22,68,99,178,186,157,1,0,1,0,1,0
2024-01-01 07:51:00,21,70,95,178,186,157,1,0,1,0,1,0
2024-01-01 07:56:00,20,70,90,178,186,157,1,0,1,0,1,0
2024-01-01 08:01:00,20,71,74,178,186,157,1,0,1,0,1,0
2024-01-01 08:06:00,19,71,92,178,186,157,1,0,1,0,1,0
2024-01-01 08:11:00,19,69,81,178,186,157,1,0,1,0,1,0
2024-01-01 08:16:00,19,71,92,178,186,157,1,0,1,0,1,0
2024-01-01 08:21:00,19,70,91,178,186,157,1,0,1,0,1,0
